&c.	etc.
fahl	foul
failin'	failing
fail'st	failest
faint-hearted	fainthearted
fair'st	fairest
fairy-land	fairyland
'faith	faith
faith-breach	faithbreach
faithfull'st	faithfullest
falleth	falls
fallin	falling
fallin'	falling
fall'n	fallen
fall'n-off	fallen-off
fall'st	fallest
falorous	valorous
false-hearted	falsehearted
FALSTAFF	Falstaff
falteing	faltering
famly	family
fam'ly	family
fa'r	fair
fa'rd	fared
fardel	farthel
fardels	farthels
fardingales	farthingales
farm-house	farmhouse
Farrin'don	Farringdon
fartuous	virtuous
fast-Fish	fast-fish
fastidions	fastidious
fast'ned	fastened
fat-Cutter	fat-cutter
fathur's	father's
faut's	fault's
favored	favoured
favorite	favourite
fawneth	fawns
fawther	father
fawther's	father's
